ROTA;FILIAL_ORIGEM;FILIAL_DESTINO; R$_CAPITAL ; R$_INTERIOR ; %_CAPITAL ; %_INTERIOR ;PM
RAOMGF;RAO;MGF;R$ 2,11;R$ 2,28;0,25%;0,25%;50
RAOFLN;RAO;FLN;R$ 2,62;R$ 2,77;0,25%;0,25%;50
RAOCAW;RAO;CAW;R$ 2,68;R$ 2,82;0,27%;0,27%;50
RAOLAJ;RAO;LAJ;R$ 3,21;R$ 3,34;0,27%;0,27%;50
RAOCCM;RAO;CCM;R$ 3,50;R$ 3,61;0,27%;0,27%;50
RAOCAC;RAO;CAC;R$ 2,66;R$ 2,81;0,27%;0,27%;50
RAOVIX;RAO;VIX;R$ 2,24;R$ 2,38;0,27%;0,27%;50
RAOXAP;RAO;XAP;R$ 3,21;R$ 3,34;0,27%;0,27%;50
RAOCXJ;RAO;CXJ;R$ 2,59;R$ 2,74;0,27%;0,27%;50
RAOPOA;RAO;POA;R$ 2,80;R$ 2,94;0,27%;0,27%;50
RAOBSB;RAO;BSB;R$ 1,67;R$ 1,84;0,27%;0,27%;50
RAOCGR;RAO;CGR;R$ 3,39;R$ 3,51;0,27%;0,27%;50
RAOGYN;RAO;GYN;R$ 2,06;R$ 2,24;0,27%;0,27%;50
RAOVDC;RAO;VDC;R$ 2,53;R$ 2,69;0,37%;0,37%;50
RAOITN;RAO;ITN;R$ 2,34;R$ 2,50;0,37%;0,37%;50
RAOCGB;RAO;CGB;R$ 3,27;R$ 3,39;0,37%;0,37%;50
RAOPMW;RAO;PMW;R$ 2,65;R$ 2,80;0,45%;0,45%;50
RAOFES;RAO;FES;R$ 1,91;R$ 2,02;0,45%;0,45%;50
RAOSSA;RAO;SSA;R$ 2,36;R$ 2,52;0,45%;0,45%;50
RAOAJU;RAO;AJU;R$ 1,99;R$ 2,16;0,45%;0,45%;50
RAOPNZ;RAO;PNZ;R$ 3,42;R$ 3,54;0,66%;0,66%;50
RAOMCZ;RAO;MCZ;R$ 1,93;R$ 2,11;0,66%;0,66%;50
RAOIMP;RAO;IMP;R$ 3,06;R$ 3,19;0,66%;0,66%;50
RAOTHE;RAO;THE;R$ 3,04;R$ 3,17;0,66%;0,66%;50
RAOCAU;RAO;CAU;R$ 3,28;R$ 3,41;0,66%;0,66%;50
RAOJPA;RAO;JPA;R$ 1,89;R$ 2,07;0,66%;0,66%;50
RAOREC;RAO;REC;R$ 2,21;R$ 2,40;0,94%;0,94%;50
RAOSLZ;RAO;SLZ;R$ 2,98;R$ 3,11;0,94%;0,94%;50
RAONAT;RAO;NAT;R$ 2,07;R$ 2,25;0,94%;0,94%;50
RAOFOR;RAO;FOR;R$ 2,19;R$ 2,34;0,94%;0,94%;50
RAOBEL;RAO;BEL;R$ 1,87;R$ 1,97;0,94%;0,94%;50
RECCAU;REC;CAU;R$ 1,70;R$ 2,19;0,18%;0,18%;50
RECFES;REC;FES;R$ 2,14;R$ 2,61;0,25%;0,25%;50
RECITN;REC;ITN;R$ 2,40;R$ 2,86;0,25%;0,25%;50
RECVDC;REC;VDC;R$ 2,62;R$ 3,07;0,25%;0,25%;50
RECSSA;REC;SSA;R$ 2,60;R$ 3,06;0,25%;0,25%;50
RECAJU;REC;AJU;R$ 2,38;R$ 2,85;0,27%;0,27%;50
RECPNZ;REC;PNZ;R$ 2,23;R$ 2,70;0,25%;0,25%;50
RECVIX;REC;VIX;R$ 2,17;R$ 2,66;0,37%;0,37%;50
RECBHZ;REC;BHZ;R$ 2,44;R$ 2,92;0,45%;0,45%;50
RECBSB;REC;BSB;R$ 3,12;R$ 3,55;0,45%;0,45%;50
RECPMW;REC;PMW;R$ 4,21;R$ 4,60;0,45%;0,45%;50
RECCAW;REC;CAW;R$ 3,28;R$ 3,71;0,45%;0,45%;50
RECDIV;REC;DIV;R$ 2,67;R$ 3,13;0,45%;0,45%;50
RECJDF;REC;JDF;R$ 3,38;R$ 3,80;0,45%;0,45%;50
RECGYN;REC;GYN;R$ 2,97;R$ 3,40;0,45%;0,45%;50
RECRIO;REC;RIO;R$ 2,55;R$ 3,03;0,45%;0,45%;50
RECPSA;REC;PSA;R$ 3,13;R$ 3,59;0,45%;0,45%;50
RECSJK;REC;SJK;R$ 3,18;R$ 3,64;0,66%;0,66%;50
RECCPQ;REC;CPQ;R$ 2,73;R$ 3,22;0,66%;0,66%;50
RECSAO;REC;SAO;R$ 2,54;R$ 3,03;0,66%;0,66%;50
RECSSZ;REC;SSZ;R$ 3,30;R$ 3,77;0,66%;0,66%;50
RECSOD;REC;SOD;R$ 3,45;R$ 3,87;0,66%;0,66%;50
RECBAU;REC;BAU;R$ 3,57;R$ 4,00;0,66%;0,66%;50
RECRAO;REC;RAO;R$ 3,11;R$ 3,57;0,66%;0,66%;50
RECCWB;REC;CWB;R$ 3,76;R$ 4,17;0,94%;0,94%;50
RECJOI;REC;JOI;R$ 3,52;R$ 3,94;0,94%;0,94%;50
RECCGB;REC;CGB;R$ 6,25;R$ 6,57;0,94%;0,94%;50
RECCGR;REC;CGR;R$ 5,68;R$ 6,01;0,94%;0,94%;50
RECSJP;REC;SJP;R$ 3,88;R$ 4,30;0,94%;0,94%;50
RECBNU;REC;BNU;R$ 3,39;R$ 3,81;0,94%;0,94%;50
RECITJ;REC;ITJ;R$ 3,41;R$ 3,83;0,94%;0,94%;50
RECLDB;REC;LDB;R$ 3,63;R$ 4,04;0,94%;0,94%;50
RECPPB;REC;PPB;R$ 4,32;R$ 4,73;0,94%;0,94%;50
RECFLN;REC;FLN;R$ 4,13;R$ 4,52;0,94%;0,94%;50
RECUDI;REC;UDI;R$ 3,47;R$ 3,89;0,66%;0,66%;50
RECMGF;REC;MGF;R$ 3,65;R$ 4,06;0,94%;0,94%;50
RECLAJ;REC;LAJ;R$ 4,71;R$ 5,09;0,94%;0,94%;50
RECBEL;REC;BEL;R$ 3,52;R$ 3,94;0,94%;0,94%;50
RECCCM;REC;CCM;R$ 5,00;R$ 5,36;0,94%;0,94%;50
RECCAC;REC;CAC;R$ 4,16;R$ 4,56;0,94%;0,94%;50
RECXAP;REC;XAP;R$ 4,71;R$ 5,09;0,94%;0,94%;50
RECCXJ;REC;CXJ;R$ 3,55;R$ 3,96;0,94%;0,94%;50
RECPOA;REC;POA;R$ 4,30;R$ 4,69;0,94%;0,94%;50
RECREC;REC;REC;R$ 0,54;R$ 1,28;0,14%;0,14%;50
RECMCZ;REC;MCZ;R$ 2,24;R$ 2,71;0,27%;0,27%;50
RECJPA;REC;JPA;R$ 1,46;R$ 1,98;0,37%;0,37%;50
RECNAT;REC;NAT;R$ 1,80;R$ 2,29;0,37%;0,37%;50
RECTHE;REC;THE;R$ 2,90;R$ 3,34;0,37%;0,37%;50
RECFOR;REC;FOR;R$ 1,85;R$ 2,34;0,37%;0,37%;50
RECIMP;REC;IMP;R$ 2,92;R$ 3,36;0,45%;0,45%;50
RECSLZ;REC;SLZ;R$ 2,84;R$ 3,29;0,45%;0,45%;50
RIORIO;RIO;RIO;R$ 0,75;R$ 1,24;0,14%;0,14%;50
RIOSAO;RIO;SAO;R$ 1,77;R$ 1,96;0,18%;0,18%;50
RIOSSZ;RIO;SSZ;R$ 2,53;R$ 2,72;0,18%;0,18%;50
RIOPSA;RIO;PSA;R$ 2,69;R$ 2,89;0,18%;0,18%;50
RIOCPQ;RIO;CPQ;R$ 1,70;R$ 1,94;0,18%;0,18%;50
RIOSJK;RIO;SJK;R$ 2,14;R$ 2,34;0,18%;0,18%;50
RIOSOD;RIO;SOD;R$ 1,78;R$ 2,02;0,18%;0,18%;50
RIOCAW;RIO;CAW;R$ 1,47;R$ 1,70;0,25%;0,25%;50
RIORAO;RIO;RAO;R$ 1,95;R$ 2,18;0,25%;0,25%;50
RIOBAU;RIO;BAU;R$ 2,23;R$ 2,45;0,25%;0,25%;50
RIOCWB;RIO;CWB;R$ 2,18;R$ 2,39;0,25%;0,25%;50
RIOJOI;RIO;JOI;R$ 2,24;R$ 2,41;0,25%;0,25%;50
RIOSJP;RIO;SJP;R$ 2,54;R$ 2,75;0,25%;0,25%;50
RIOITJ;RIO;ITJ;R$ 1,77;R$ 2,00;0,27%;0,27%;50
RIOLDB;RIO;LDB;R$ 2,33;R$ 2,52;0,27%;0,27%;50
RIOPPB;RIO;PPB;R$ 2,99;R$ 3,18;0,27%;0,27%;50
RIOUDI;RIO;UDI;R$ 2,29;R$ 2,48;0,27%;0,27%;50
RIOBNU;RIO;BNU;R$ 2,23;R$ 2,42;0,27%;0,27%;50
RIOFLN;RIO;FLN;R$ 2,32;R$ 2,54;0,27%;0,27%;50
RIOMGF;RIO;MGF;R$ 2,33;R$ 2,52;0,27%;0,27%;50
RIOLAJ;RIO;LAJ;R$ 3,23;R$ 3,38;0,27%;0,27%;50
RIOCCM;RIO;CCM;R$ 3,51;R$ 3,66;0,27%;0,27%;50
RIOCAC;RIO;CAC;R$ 2,88;R$ 3,05;0,27%;0,27%;50
RIOXAP;RIO;XAP;R$ 3,23;R$ 3,38;0,27%;0,27%;50
RIOCXJ;RIO;CXJ;R$ 2,06;R$ 2,26;0,27%;0,27%;50
RIOPOA;RIO;POA;R$ 2,48;R$ 2,65;0,27%;0,27%;50
RIOJDF;RIO;JDF;R$ 1,96;R$ 2,17;0,18%;0,18%;50
RIOBHZ;RIO;BHZ;R$ 1,41;R$ 1,67;0,18%;0,18%;50
RIODIV;RIO;DIV;R$ 1,62;R$ 1,80;0,18%;0,18%;50
RIOVIX;RIO;VIX;R$ 1,46;R$ 1,63;0,25%;0,25%;50
RIOVDC;RIO;VDC;R$ 2,45;R$ 2,64;0,27%;0,27%;50
RIOITN;RIO;ITN;R$ 2,26;R$ 2,46;0,27%;0,27%;50
RIOGYN;RIO;GYN;R$ 1,92;R$ 2,13;0,27%;0,27%;50
RIOFES;RIO;FES;R$ 1,66;R$ 1,83;0,37%;0,37%;50
RIOBSB;RIO;BSB;R$ 2,26;R$ 2,46;0,37%;0,37%;50
RIOSSA;RIO;SSA;R$ 2,11;R$ 2,30;0,37%;0,37%;50
RIOAJU;RIO;AJU;R$ 1,81;R$ 2,04;0,37%;0,37%;50
RIOPNZ;RIO;PNZ;R$ 3,00;R$ 3,16;0,45%;0,45%;50
RIOMCZ;RIO;MCZ;R$ 2,22;R$ 2,37;0,45%;0,45%;50
RIOCAU;RIO;CAU;R$ 2,85;R$ 3,03;0,45%;0,45%;50
RIOCGR;RIO;CGR;R$ 3,25;R$ 3,41;0,45%;0,45%;50
RIOPMW;RIO;PMW;R$ 3,54;R$ 3,69;0,45%;0,45%;50
RIOCGB;RIO;CGB;R$ 3,51;R$ 3,65;0,45%;0,45%;50
RIOREC;RIO;REC;R$ 1,42;R$ 1,72;0,45%;0,45%;50
RIOJPA;RIO;JPA;R$ 2,26;R$ 2,40;0,66%;0,66%;50
RIONAT;RIO;NAT;R$ 1,99;R$ 2,20;0,66%;0,66%;50
RIOTHE;RIO;THE;R$ 3,09;R$ 3,25;0,66%;0,66%;50
RIOFOR;RIO;FOR;R$ 2,25;R$ 2,42;0,66%;0,66%;50
RIOIMP;RIO;IMP;R$ 3,42;R$ 3,55;0,66%;0,66%;50
RIOSLZ;RIO;SLZ;R$ 3,03;R$ 3,20;0,94%;0,94%;50
RIOBEL;RIO;BEL;R$ 1,58;R$ 1,80;0,94%;0,94%;50
SAOSAO;SAO;SAO;R$ 0,64;R$ 1,21;0,14%;0,14%;50
SAOCPQ;SAO;CPQ;R$ 1,39;R$ 1,83;0,18%;0,18%;50
SAOSJK;SAO;SJK;R$ 1,66;R$ 2,08;0,18%;0,18%;50
SAOSOD;SAO;SOD;R$ 1,68;R$ 2,11;0,18%;0,18%;50
SAOSSZ;SAO;SSZ;R$ 1,73;R$ 2,15;0,18%;0,18%;50
SAOBAU;SAO;BAU;R$ 1,90;R$ 2,33;0,18%;0,18%;50
SAOCWB;SAO;CWB;R$ 1,44;R$ 1,87;0,18%;0,18%;50
SAOJOI;SAO;JOI;R$ 1,53;R$ 1,96;0,18%;0,18%;50
SAOITJ;SAO;ITJ;R$ 1,09;R$ 1,53;0,25%;0,25%;50
SAOPSA;SAO;PSA;R$ 2,49;R$ 2,88;0,25%;0,25%;50
SAOLDB;SAO;LDB;R$ 1,31;R$ 1,75;0,25%;0,25%;50
SAOFLN;SAO;FLN;R$ 1,41;R$ 1,85;0,25%;0,25%;50
SAOPPB;SAO;PPB;R$ 2,60;R$ 2,99;0,25%;0,25%;50
SAOBNU;SAO;BNU;R$ 1,07;R$ 1,52;0,25%;0,25%;50
SAOLAJ;SAO;LAJ;R$ 1,97;R$ 2,38;0,25%;0,25%;50
SAOMGF;SAO;MGF;R$ 1,33;R$ 1,76;0,25%;0,25%;50
SAOCCM;SAO;CCM;R$ 2,25;R$ 2,65;0,25%;0,25%;50
SAOXAP;SAO;XAP;R$ 1,92;R$ 2,34;0,25%;0,25%;50
SAOCXJ;SAO;CXJ;R$ 2,35;R$ 2,75;0,25%;0,25%;50
SAOCAC;SAO;CAC;R$ 1,84;R$ 2,26;0,25%;0,25%;50
SAOPOA;SAO;POA;R$ 1,98;R$ 2,40;0,27%;0,27%;50
SAORAO;SAO;RAO;R$ 1,48;R$ 1,91;0,18%;0,18%;50
SAOCAW;SAO;CAW;R$ 1,77;R$ 2,20;0,18%;0,18%;50
SAORIO;SAO;RIO;R$ 1,27;R$ 1,71;0,18%;0,18%;50
SAOSJP;SAO;SJP;R$ 2,09;R$ 2,50;0,25%;0,25%;50
SAOBHZ;SAO;BHZ;R$ 1,23;R$ 1,68;0,25%;0,25%;50
SAODIV;SAO;DIV;R$ 1,38;R$ 1,81;0,25%;0,25%;50
SAOJDF;SAO;JDF;R$ 1,93;R$ 2,35;0,25%;0,25%;50
SAOUDI;SAO;UDI;R$ 0,96;R$ 1,41;0,25%;0,25%;50
SAOVIX;SAO;VIX;R$ 1,54;R$ 1,97;0,25%;0,25%;50
SAOGYN;SAO;GYN;R$ 1,41;R$ 1,84;0,27%;0,27%;50
SAOBSB;SAO;BSB;R$ 1,79;R$ 2,21;0,27%;0,27%;50
SAOCGR;SAO;CGR;R$ 2,07;R$ 2,49;0,27%;0,27%;50
SAOCGB;SAO;CGB;R$ 2,67;R$ 3,06;0,37%;0,37%;50
SAOSSA;SAO;SSA;R$ 1,39;R$ 1,83;0,37%;0,37%;50
SAOFES;SAO;FES;R$ 1,25;R$ 1,69;0,37%;0,37%;50
SAOITN;SAO;ITN;R$ 1,83;R$ 2,25;0,37%;0,37%;50
SAOVDC;SAO;VDC;R$ 2,00;R$ 2,41;0,37%;0,37%;50
SAOPMW;SAO;PMW;R$ 2,44;R$ 2,84;0,37%;0,37%;50
SAOAJU;SAO;AJU;R$ 1,66;R$ 2,09;0,45%;0,45%;50
SAOMCZ;SAO;MCZ;R$ 1,68;R$ 2,10;0,45%;0,45%;50
SAOCAU;SAO;CAU;R$ 2,46;R$ 2,85;0,66%;0,66%;50
SAOPNZ;SAO;PNZ;R$ 2,60;R$ 2,99;0,66%;0,66%;50
SAOREC;SAO;REC;R$ 1,35;R$ 1,80;0,66%;0,66%;50
SAOJPA;SAO;JPA;R$ 1,71;R$ 2,13;0,66%;0,66%;50
SAONAT;SAO;NAT;R$ 1,75;R$ 2,17;0,66%;0,66%;50
SAOFOR;SAO;FOR;R$ 1,64;R$ 2,07;0,66%;0,66%;50
SAOIMP;SAO;IMP;R$ 2,71;R$ 3,09;0,66%;0,66%;50
SAOSLZ;SAO;SLZ;R$ 2,50;R$ 2,90;0,66%;0,66%;50
SAOTHE;SAO;THE;R$ 2,30;R$ 2,70;0,66%;0,66%;50
SAOBEL;SAO;BEL;R$ 1,58;R$ 2,01;0,94%;0,94%;50
SJKSJK;SJK;SJK;R$ 1,18;R$ 1,47;0,14%;0,14%;50
SJKSAO;SJK;SAO;R$ 1,38;R$ 1,07;0,18%;0,18%;50
SJKSSZ;SJK;SSZ;R$ 2,56;R$ 2,09;0,18%;0,18%;50
SJKRAO;SJK;RAO;R$ 1,71;R$ 1,28;0,18%;0,18%;50
SJKBAU;SJK;BAU;R$ 1,95;R$ 1,50;0,18%;0,18%;50
SJKCPQ;SJK;CPQ;R$ 1,86;R$ 1,42;0,18%;0,18%;50
SJKPPB;SJK;PPB;R$ 2,79;R$ 2,32;0,18%;0,18%;50
SJKSJP;SJK;SJP;R$ 2,38;R$ 1,92;0,18%;0,18%;50
SJKSOD;SJK;SOD;R$ 1,94;R$ 1,50;0,18%;0,18%;50
SJKCAC;SJK;CAC;R$ 2,47;R$ 1,90;0,25%;0,25%;50
SJKLDB;SJK;LDB;R$ 1,88;R$ 1,33;0,25%;0,25%;50
SJKPSA;SJK;PSA;R$ 3,18;R$ 2,70;0,25%;0,25%;50
SJKCWB;SJK;CWB;R$ 1,73;R$ 1,29;0,18%;0,18%;50
SJKCAW;SJK;CAW;R$ 2,15;R$ 1,70;0,18%;0,18%;50
SJKRIO;SJK;RIO;R$ 1,64;R$ 1,21;0,18%;0,18%;50
SJKJOI;SJK;JOI;R$ 1,50;R$ 1,07;0,25%;0,25%;50
SJKUDI;SJK;UDI;R$ 1,43;R$ 1,01;0,25%;0,25%;50
SJKBHZ;SJK;BHZ;R$ 1,54;R$ 1,12;0,25%;0,25%;50
SJKDIV;SJK;DIV;R$ 1,68;R$ 1,25;0,25%;0,25%;50
SJKJDF;SJK;JDF;R$ 2,24;R$ 1,79;0,25%;0,25%;50
SJKBNU;SJK;BNU;R$ 1,48;R$ 1,06;0,25%;0,25%;50
SJKITJ;SJK;ITJ;R$ 1,38;R$ 0,96;0,25%;0,25%;50
SJKMGF;SJK;MGF;R$ 2,17;R$ 1,72;0,25%;0,25%;50
SJKFLN;SJK;FLN;R$ 2,10;R$ 1,65;0,25%;0,25%;50
SJKLAJ;SJK;LAJ;R$ 2,69;R$ 2,22;0,25%;0,25%;50
SJKCCM;SJK;CCM;R$ 2,97;R$ 2,49;0,25%;0,25%;50
SJKVIX;SJK;VIX;R$ 1,74;R$ 1,20;0,25%;0,25%;50
SJKBSB;SJK;BSB;R$ 1,76;R$ 1,22;0,25%;0,25%;50
SJKCGB;SJK;CGB;R$ 2,62;R$ 2,29;0,25%;0,25%;50
SJKCGR;SJK;CGR;R$ 3,42;R$ 2,92;0,25%;0,25%;50
SJKPMW;SJK;PMW;R$ 2,66;R$ 2,20;0,25%;0,25%;50
SJKXAP;SJK;XAP;R$ 2,56;R$ 2,10;0,27%;0,27%;50
SJKCXJ;SJK;CXJ;R$ 2,07;R$ 1,63;0,27%;0,27%;50
SJKPOA;SJK;POA;R$ 1,93;R$ 1,49;0,27%;0,27%;50
SJKGYN;SJK;GYN;R$ 2,09;R$ 1,64;0,27%;0,27%;50
SJKFES;SJK;FES;R$ 1,70;R$ 1,16;0,37%;0,37%;50
SJKITN;SJK;ITN;R$ 2,12;R$ 1,74;0,37%;0,37%;50
SJKVDC;SJK;VDC;R$ 2,55;R$ 2,08;0,37%;0,37%;50
SJKSSA;SJK;SSA;R$ 2,39;R$ 1,93;0,37%;0,37%;50
SJKAJU;SJK;AJU;R$ 2,00;R$ 1,56;0,45%;0,45%;50
SJKPNZ;SJK;PNZ;R$ 3,44;R$ 2,95;0,45%;0,45%;50
SJKMCZ;SJK;MCZ;R$ 1,94;R$ 1,50;0,45%;0,45%;50
SJKCAU;SJK;CAU;R$ 3,30;R$ 2,81;0,66%;0,66%;50
SJKJPA;SJK;JPA;R$ 1,90;R$ 1,46;0,66%;0,66%;50
SJKREC;SJK;REC;R$ 2,48;R$ 2,02;0,66%;0,66%;50
SJKNAT;SJK;NAT;R$ 2,09;R$ 1,64;0,66%;0,66%;50
SJKFOR;SJK;FOR;R$ 2,00;R$ 1,56;0,66%;0,66%;50
SJKIMP;SJK;IMP;R$ 3,07;R$ 2,58;0,66%;0,66%;50
SJKSLZ;SJK;SLZ;R$ 2,99;R$ 2,51;0,66%;0,66%;50
SJKTHE;SJK;THE;R$ 3,05;R$ 2,56;0,66%;0,66%;50
SJKBEL;SJK;BEL;R$ 1,55;R$ 1,02;0,66%;0,66%;50
SJPSJP;SJP;SJP;R$ 1,17;R$ 1,47;0,14%;0,14%;50
SJPCPQ;SJP;CPQ;R$ 2,32;R$ 2,46;0,18%;0,18%;50
SJPSJK;SJP;SJK;R$ 2,65;R$ 2,76;0,18%;0,18%;50
SJPSOD;SJP;SOD;R$ 2,43;R$ 2,55;0,18%;0,18%;50
SJPSAO;SJP;SAO;R$ 1,96;R$ 2,14;0,25%;0,25%;50
SJPPSA;SJP;PSA;R$ 3,06;R$ 3,20;0,25%;0,25%;50
SJPSSZ;SJP;SSZ;R$ 3,74;R$ 3,82;0,25%;0,25%;50
SJPPPB;SJP;PPB;R$ 1,85;R$ 2,00;0,18%;0,18%;50
SJPRAO;SJP;RAO;R$ 2,79;R$ 2,90;0,25%;0,25%;50
SJPBAU;SJP;BAU;R$ 2,76;R$ 2,89;0,25%;0,25%;50
SJPCWB;SJP;CWB;R$ 2,91;R$ 3,02;0,25%;0,25%;50
SJPDIV;SJP;DIV;R$ 2,86;R$ 2,97;0,25%;0,25%;50
SJPRIO;SJP;RIO;R$ 2,68;R$ 2,81;0,25%;0,25%;50
SJPJDF;SJP;JDF;R$ 3,42;R$ 3,51;0,25%;0,25%;50
SJPJOI;SJP;JOI;R$ 2,68;R$ 2,79;0,25%;0,25%;50
SJPLDB;SJP;LDB;R$ 3,18;R$ 3,26;0,25%;0,25%;50
SJPUDI;SJP;UDI;R$ 2,73;R$ 2,84;0,25%;0,25%;50
SJPBHZ;SJP;BHZ;R$ 2,62;R$ 2,75;0,25%;0,25%;50
SJPITJ;SJP;ITJ;R$ 2,56;R$ 2,68;0,27%;0,27%;50
SJPFLN;SJP;FLN;R$ 3,28;R$ 3,37;0,27%;0,27%;50
SJPCAW;SJP;CAW;R$ 3,33;R$ 3,42;0,27%;0,27%;50
SJPLAJ;SJP;LAJ;R$ 3,87;R$ 3,94;0,27%;0,27%;50
SJPCCM;SJP;CCM;R$ 4,15;R$ 4,21;0,27%;0,27%;50
SJPCAC;SJP;CAC;R$ 3,32;R$ 3,41;0,27%;0,27%;50
SJPVIX;SJP;VIX;R$ 2,42;R$ 2,56;0,27%;0,27%;50
SJPXAP;SJP;XAP;R$ 3,87;R$ 3,94;0,27%;0,27%;50
SJPCXJ;SJP;CXJ;R$ 3,24;R$ 3,34;0,37%;0,37%;50
SJPBNU;SJP;BNU;R$ 2,66;R$ 2,78;0,27%;0,27%;50
SJPMGF;SJP;MGF;R$ 2,01;R$ 2,15;0,27%;0,27%;50
SJPBSB;SJP;BSB;R$ 2,15;R$ 2,29;0,27%;0,27%;50
SJPCGR;SJP;CGR;R$ 4,02;R$ 4,09;0,27%;0,27%;50
SJPPOA;SJP;POA;R$ 2,55;R$ 2,67;0,37%;0,37%;50
SJPGYN;SJP;GYN;R$ 2,69;R$ 2,81;0,37%;0,37%;50
SJPVDC;SJP;VDC;R$ 3,16;R$ 3,26;0,37%;0,37%;50
SJPITN;SJP;ITN;R$ 2,97;R$ 3,08;0,37%;0,37%;50
SJPCGB;SJP;CGB;R$ 3,89;R$ 3,96;0,37%;0,37%;50
SJPPMW;SJP;PMW;R$ 3,28;R$ 3,38;0,45%;0,45%;50
SJPFES;SJP;FES;R$ 2,10;R$ 2,24;0,45%;0,45%;50
SJPSSA;SJP;SSA;R$ 2,99;R$ 3,10;0,45%;0,45%;50
SJPAJU;SJP;AJU;R$ 2,62;R$ 2,74;0,66%;0,66%;50
SJPPNZ;SJP;PNZ;R$ 4,05;R$ 4,12;0,66%;0,66%;50
SJPMCZ;SJP;MCZ;R$ 2,56;R$ 2,68;0,66%;0,66%;50
SJPIMP;SJP;IMP;R$ 3,69;R$ 3,76;0,66%;0,66%;50
SJPTHE;SJP;THE;R$ 3,67;R$ 3,74;0,66%;0,66%;50
SJPCAU;SJP;CAU;R$ 3,91;R$ 3,98;0,94%;0,94%;50
SJPJPA;SJP;JPA;R$ 2,52;R$ 2,64;0,94%;0,94%;50
SJPREC;SJP;REC;R$ 2,01;R$ 2,20;0,94%;0,94%;50
SJPSLZ;SJP;SLZ;R$ 3,61;R$ 3,69;0,94%;0,94%;50
SJPNAT;SJP;NAT;R$ 2,70;R$ 2,82;0,94%;0,94%;50
SJPFOR;SJP;FOR;R$ 2,62;R$ 2,74;0,94%;0,94%;50
SJPBEL;SJP;BEL;R$ 2,36;R$ 2,46;0,94%;0,94%;50
SLZSLZ;SLZ;SLZ;R$ 2,40;R$ 3,05;0,14%;0,14%;50
SLZTHE;SLZ;THE;R$ 3,60;R$ 2,98;0,18%;0,18%;50
SLZFES;SLZ;FES;R$ 2,87;R$ 2,18;0,27%;0,27%;50
SLZITN;SLZ;ITN;R$ 2,90;R$ 2,59;0,27%;0,27%;50
SLZVDC;SLZ;VDC;R$ 3,08;R$ 2,76;0,27%;0,27%;50
SLZSSA;SLZ;SSA;R$ 3,06;R$ 2,74;0,27%;0,27%;50
SLZBEL;SLZ;BEL;R$ 2,31;R$ 2,02;0,27%;0,27%;50
SLZAJU;SLZ;AJU;R$ 2,84;R$ 2,53;0,27%;0,27%;50
SLZPNZ;SLZ;PNZ;R$ 4,75;R$ 4,08;0,37%;0,37%;50
SLZCAU;SLZ;CAU;R$ 2,99;R$ 2,81;0,37%;0,37%;50
SLZREC;SLZ;REC;R$ 3,60;R$ 3,07;0,37%;0,37%;50
SLZNAT;SLZ;NAT;R$ 3,40;R$ 2,87;0,45%;0,45%;50
SLZVIX;SLZ;VIX;R$ 2,66;R$ 2,40;0,66%;0,66%;50
SLZBHZ;SLZ;BHZ;R$ 3,01;R$ 2,74;0,45%;0,45%;50
SLZBSB;SLZ;BSB;R$ 3,71;R$ 3,18;0,45%;0,45%;50
SLZPMW;SLZ;PMW;R$ 4,77;R$ 4,24;0,45%;0,45%;50
SLZCAW;SLZ;CAW;R$ 3,55;R$ 3,26;0,66%;0,66%;50
SLZDIV;SLZ;DIV;R$ 3,11;R$ 2,83;0,66%;0,66%;50
SLZJDF;SLZ;JDF;R$ 3,65;R$ 3,35;0,66%;0,66%;50
SLZGYN;SLZ;GYN;R$ 3,52;R$ 3,04;0,66%;0,66%;50
SLZRIO;SLZ;RIO;R$ 3,13;R$ 2,85;0,94%;0,94%;50
SLZPSA;SLZ;PSA;R$ 3,55;R$ 3,31;0,66%;0,66%;50
SLZSJK;SLZ;SJK;R$ 4,08;R$ 3,72;0,66%;0,66%;50
SLZCPQ;SLZ;CPQ;R$ 3,79;R$ 3,44;0,66%;0,66%;50
SLZSAO;SLZ;SAO;R$ 3,20;R$ 2,97;0,66%;0,66%;50
SLZSSZ;SLZ;SSZ;R$ 4,04;R$ 3,78;0,66%;0,66%;50
SLZSOD;SLZ;SOD;R$ 3,91;R$ 3,56;0,66%;0,66%;50
SLZJOI;SLZ;JOI;R$ 3,98;R$ 3,63;0,94%;0,94%;50
SLZBAU;SLZ;BAU;R$ 3,76;R$ 3,55;0,94%;0,94%;50
SLZRAO;SLZ;RAO;R$ 3,71;R$ 3,46;0,94%;0,94%;50
SLZCWB;SLZ;CWB;R$ 4,22;R$ 3,86;0,94%;0,94%;50
SLZCGB;SLZ;CGB;R$ 6,81;R$ 6,21;0,94%;0,94%;50
SLZCGR;SLZ;CGR;R$ 6,24;R$ 5,65;0,94%;0,94%;50
SLZSJP;SLZ;SJP;R$ 4,29;R$ 4,02;0,94%;0,94%;50
SLZITJ;SLZ;ITJ;R$ 3,87;R$ 3,52;0,94%;0,94%;50
SLZBNU;SLZ;BNU;R$ 3,85;R$ 3,50;0,94%;0,94%;50
SLZLDB;SLZ;LDB;R$ 4,09;R$ 3,73;0,94%;0,94%;50
SLZFLN;SLZ;FLN;R$ 4,19;R$ 3,83;0,94%;0,94%;50
